frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20.00,-6.78,-3.86,-6.78,-3.87,3.90,3.14,-2.88,-2.88,-2.91
20.20,-6.74,-3.85,-6.73,-3.85,3.85,3.06,-2.89,-2.88,-2.88
20.40,-6.67,-3.81,-6.66,-3.81,3.80,2.98,-2.87,-2.87,-2.85
20.61,-6.60,-3.77,-6.59,-3.76,3.74,2.90,-2.86,-2.85,-2.83
20.81,-6.49,-3.68,-6.50,-3.70,3.68,2.82,-2.80,-2.82,-2.80
21.02,-6.43,-3.65,-6.41,-3.64,3.62,2.74,-2.80,-2.79,-2.77
21.23,-6.32,-3.55,-6.32,-3.56,3.56,2.66,-2.76,-2.77,-2.76
21.44,-6.25,-3.49,-6.24,-3.49,3.49,2.58,-2.75,-2.75,-2.75
21.66,-6.15,-3.41,-6.15,-3.41,3.42,2.50,-2.73,-2.74,-2.74
21.87,-6.08,-3.33,-6.07,-3.34,3.34,2.43,-2.73,-2.73,-2.74
22.09,-6.00,-3.26,-5.99,-3.26,3.27,2.35,-2.73,-2.73,-2.73
22.31,-5.92,-3.18,-5.92,-3.19,3.19,2.28,-2.73,-2.73,-2.73
22.54,-5.85,-3.12,-5.85,-3.12,3.11,2.21,-2.73,-2.74,-2.73
22.76,-5.79,-3.05,-5.78,-3.04,3.04,2.14,-2.75,-2.74,-2.73
22.99,-5.71,-2.96,-5.71,-2.97,2.96,2.07,-2.75,-2.74,-2.74
23.22,-5.62,-2.87,-5.63,-2.88,2.88,2.00,-2.73,-2.74,-2.74
23.45,-5.55,-2.80,-5.54,-2.80,2.80,1.93,-2.74,-2.74,-2.74
23.69,-5.46,-2.72,-5.46,-2.72,2.72,1.86,-2.74,-2.74,-2.74
23.92,-5.38,-2.63,-5.37,-2.64,2.63,1.80,-2.74,-2.74,-2.74
24.16,-5.28,-2.54,-5.28,-2.55,2.55,1.74,-2.73,-2.74,-2.73
24.40,-5.21,-2.47,-5.19,-2.46,2.46,1.67,-2.75,-2.74,-2.73
24.65,-5.10,-2.36,-5.11,-2.37,2.37,1.61,-2.73,-2.74,-2.74
24.89,-5.02,-2.27,-5.01,-2.27,2.27,1.55,-2.74,-2.74,-2.74
25.14,-4.93,-2.18,-4.92,-2.18,2.18,1.49,-2.75,-2.74,-2.74
25.39,-4.82,-2.07,-4.83,-2.08,2.08,1.43,-2.73,-2.74,-2.74
25.65,-4.74,-1.99,-4.73,-1.99,1.99,1.37,-2.75,-2.75,-2.74
25.91,-4.64,-1.89,-4.64,-1.89,1.89,1.31,-2.75,-2.75,-2.75
26.16,-4.55,-1.79,-4.54,-1.79,1.79,1.26,-2.76,-2.75,-2.75
26.43,-4.44,-1.69,-4.44,-1.69,1.69,1.20,-2.75,-2.75,-2.75
26.69,-4.35,-1.59,-4.35,-1.60,1.59,1.15,-2.76,-2.76,-2.75
26.96,-4.26,-1.51,-4.25,-1.50,1.49,1.09,-2.77,-2.76,-2.75
27.23,-4.16,-1.41,-4.16,-1.41,1.40,1.04,-2.76,-2.76,-2.75
27.50,-4.06,-1.30,-4.06,-1.31,1.31,0.99,-2.75,-2.75,-2.75
27.77,-3.99,-1.22,-3.98,-1.22,1.23,0.94,-2.76,-2.75,-2.76
28.05,-3.90,-1.13,-3.91,-1.14,1.15,0.89,-2.74,-2.76,-2.76
